,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,own_FDR,opp_FDR,gw
0,0,0,0,0,0,0,0,0.0,672,0.0,0.0,0.0,0.0,162,0,0,0.0,0.0,2022-12-26T17:30:00Z,0,12,0,0,0,0,17,0,0,0,3,1,0.0,0,0,0,0,45,True,0,2,4,17
1,1,1,1,0,0,0,0,0.0,672,0.0,0.0,0.0,0.0,178,0,0,0.0,0.0,2023-01-01T14:00:00Z,0,18,0,0,0,0,18,0,33,0,2,0,0.0,0,19,25,6,45,False,0,2,4,18
2,2,2,2,0,0,0,0,0.0,672,0.0,0.0,0.0,0.0,182,0,0,0.0,0.0,2023-01-04T20:00:00Z,0,20,0,0,0,0,19,0,60,0,1,1,0.0,0,16,23,7,45,True,0,2,2,19
3,3,3,3,0,0,0,0,0.0,672,0.0,0.0,0.0,0.0,191,0,0,0.0,0.0,2023-01-13T20:00:00Z,0,11,0,0,0,0,20,0,102,0,1,2,0.0,0,24,43,19,45,True,0,2,2,20
4,4,4,4,0,0,0,0,0.0,672,0.0,0.0,0.0,0.0,209,0,0,0.0,0.0,2023-01-21T15:00:00Z,0,17,0,0,0,0,21,0,139,0,1,0,0.0,0,22,44,22,45,False,0,2,2,21
5,5,5,5,0,0,0,0,0.0,672,0.0,0.0,0.0,0.0,211,0,0,0.0,0.0,2023-02-04T15:00:00Z,0,10,0,0,0,0,22,0,184,0,4,2,0.0,0,19,59,40,45,True,0,2,3,22
6,6,6,6,0,0,0,0,0.0,672,0.0,0.0,0.0,0.0,228,0,0,0.0,0.0,2023-02-12T16:30:00Z,0,13,0,0,0,0,23,0,192,0,1,3,0.0,0,-9,30,39,45,False,0,2,5,23
7,7,7,7,0,0,0,0,0.0,672,0.0,0.0,0.0,0.0,231,0,0,0.0,0.0,2023-02-18T12:30:00Z,0,1,0,0,0,0,24,0,305,0,4,2,0.0,0,93,124,31,45,True,0,2,4,24
8,8,8,8,0,0,0,0,0.0,672,0.0,0.0,0.0,0.0,243,0,0,0.0,0.0,2023-02-25T15:00:00Z,0,8,0,0,0,0,25,0,525,0,2,0,0.0,0,71,169,98,45,False,0,2,2,25
9,9,9,9,0,0,0,0,0.0,672,0.0,0.0,0.0,0.0,252,0,0,0.0,0.0,2023-03-04T15:00:00Z,0,7,0,0,0,0,26,0,388,0,0,1,0.0,0,-25,74,99,45,True,0,2,2,26
